"PassengerId","Survived","Pclass","Sex","Age","FamilySize","Embarked","Parch","SibSp","Name","Role"
892,"0",3,1,34.5,1,3,0,0,3,7
893,"0",3,2,47,2,1,0,1,2,6
894,"0",2,1,62,1,3,0,0,3,7
895,"0",3,1,27,1,1,0,0,3,7
896,"1",3,2,22,3,1,1,1,2,1
897,"0",3,1,14,1,1,0,0,3,7
898,"1",3,2,30,1,3,0,0,4,7
899,"0",2,1,26,3,1,1,1,3,2
900,"1",3,2,18,1,2,0,0,2,7
901,"0",3,1,21,3,1,0,2,3,5
902,"0",3,1,28,1,1,0,0,3,7
903,"0",1,1,46,1,1,0,0,3,7
904,"1",1,2,23,2,1,0,1,2,6
905,"0",2,1,63,2,1,0,1,3,5
906,"1",1,2,47,2,1,0,1,2,6
907,"1",2,2,24,2,2,0,1,2,6
908,"0",2,1,35,1,3,0,0,3,7
909,"0",3,1,21,1,2,0,0,3,7
910,"1",3,2,27,2,1,0,1,4,6
911,"1",3,2,45,1,2,0,0,2,7
912,"0",1,1,55,2,2,0,1,3,5
913,"1",3,1,9,2,1,1,0,1,4
914,"1",1,2,28,1,1,0,0,2,7
915,"0",1,1,21,2,2,1,0,3,2
916,"1",1,2,48,5,2,3,1,2,1
917,"0",3,1,50,2,1,0,1,3,5
918,"1",1,2,22,2,2,1,0,4,1
919,"0",3,1,22.5,1,2,0,0,3,7
920,"0",1,1,41,1,1,0,0,3,7
921,"0",3,1,28,3,2,0,2,3,5
922,"0",2,1,50,2,1,0,1,3,5
923,"0",2,1,24,3,1,0,2,3,5
924,"0",3,2,33,4,1,2,1,2,1
925,"0",3,2,28,4,1,2,1,2,1
926,"0",1,1,30,2,2,0,1,3,5
927,"0",3,1,18.5,1,2,0,0,3,7
928,"1",3,2,28,1,1,0,0,4,7
929,"1",3,2,21,1,1,0,0,4,7
930,"0",3,1,25,1,1,0,0,3,7
931,"0",3,1,28,1,1,0,0,3,7
932,"0",3,1,39,2,2,1,0,3,2
