"PassengerId","Survived","Pclass","Sex","Age","FamilySize","Embarked","Parch","SibSp","Name","Role"
1,"0",3,1,22,2,1,0,1,3,5
2,"1",1,2,38,2,2,0,1,2,6
3,"1",3,2,26,1,1,0,0,4,7
4,"1",1,2,35,2,1,0,1,2,6
5,"0",3,1,35,1,1,0,0,3,7
6,"0",3,1,28,1,3,0,0,3,7
7,"0",1,1,54,1,1,0,0,3,7
8,"0",3,1,2,5,1,1,3,1,4
9,"1",3,2,27,3,1,2,0,2,1
10,"1",2,2,14,2,2,0,1,2,6
11,"1",3,2,4,3,1,1,1,4,3
12,"1",1,2,58,1,1,0,0,4,7
13,"0",3,1,20,1,1,0,0,3,7
14,"0",3,1,39,7,1,5,1,3,2
15,"0",3,2,14,1,1,0,0,4,7
16,"1",2,2,55,1,1,0,0,2,7
17,"0",3,1,2,6,3,1,4,1,4
18,"1",2,1,28,1,1,0,0,3,7
19,"0",3,2,31,2,1,0,1,2,6
20,"1",3,2,28,1,2,0,0,2,7
21,"0",2,1,35,1,1,0,0,3,7
22,"1",2,1,34,1,1,0,0,3,7
23,"1",3,2,15,1,3,0,0,4,7
24,"1",1,1,28,1,1,0,0,3,7
25,"0",3,2,8,5,1,1,3,4,3
26,"1",3,2,38,7,1,5,1,2,1
27,"0",3,1,28,1,2,0,0,3,7
28,"0",1,1,19,6,1,2,3,3,4
29,"1",3,2,28,1,3,0,0,4,7
30,"0",3,1,28,1,1,0,0,3,7
31,"0",1,1,40,1,2,0,0,6,7
32,"1",1,2,28,2,2,0,1,2,6
33,"1",3,2,28,1,3,0,0,4,7
34,"0",2,1,66,1,1,0,0,3,7
35,"0",1,1,28,2,2,0,1,3,5
36,"0",1,1,42,2,1,0,1,3,5
37,"1",3,1,28,1,2,0,0,3,7
38,"0",3,1,21,1,1,0,0,3,7
39,"0",3,2,18,3,1,0,2,4,6
40,"1",3,2,14,2,2,0,1,4,6
41,"0",3,2,40,2,1,0,1,2,6
42,"0",2,2,27,2,1,0,1,2,6
43,"0",3,1,28,1,2,0,0,3,7
44,"1",2,2,3,4,2,2,1,4,3
45,"1",3,2,19,1,3,0,0,4,7
46,"0",3,1,28,1,1,0,0,3,7
47,"0",3,1,28,2,3,0,1,3,5
48,"1",3,2,28,1,3,0,0,4,7
49,"0",3,1,28,3,2,0,2,3,5
50,"0",3,2,18,2,1,0,1,2,6
51,"0",3,1,7,6,1,1,4,1,4
52,"0",3,1,21,1,1,0,0,3,7
53,"1",1,2,49,2,2,0,1,2,6
54,"1",2,2,29,2,1,0,1,2,6
55,"0",1,1,65,2,2,1,0,3,2
56,"1",1,1,28,1,1,0,0,3,7
57,"1",2,2,21,1,1,0,0,4,7
58,"0",3,1,28.5,1,2,0,0,3,7
59,"1",2,2,5,4,1,2,1,4,3
60,"0",3,1,11,8,1,2,5,1,4
61,"0",3,1,22,1,2,0,0,3,7
62,"1",1,2,38,1,1,0,0,4,7
63,"0",1,1,45,2,1,0,1,3,5
64,"0",3,1,4,6,1,2,3,1,4
65,"0",1,1,28,1,2,0,0,3,7
66,"1",3,1,28,3,2,1,1,1,2
67,"1",2,2,29,1,1,0,0,2,7
68,"0",3,1,19,1,1,0,0,3,7
69,"1",3,2,17,7,1,2,4,4,3
70,"0",3,1,26,3,1,0,2,3,5
71,"0",2,1,32,1,1,0,0,3,7
72,"0",3,2,16,8,1,2,5,4,3
73,"0",2,1,21,1,1,0,0,3,7
74,"0",3,1,26,2,2,0,1,3,5
75,"1",3,1,32,1,1,0,0,3,7
76,"0",3,1,25,1,1,0,0,3,7
77,"0",3,1,28,1,1,0,0,3,7
78,"0",3,1,28,1,1,0,0,3,7
79,"1",2,1,0.83,3,1,2,0,1,4
80,"1",3,2,30,1,1,0,0,4,7
81,"0",3,1,22,1,1,0,0,3,7
82,"1",3,1,29,1,1,0,0,3,7
83,"1",3,2,28,1,3,0,0,4,7
84,"0",1,1,28,1,1,0,0,3,7
85,"1",2,2,17,1,1,0,0,4,7
86,"1",3,2,33,4,1,0,3,2,6
87,"0",3,1,16,5,1,3,1,3,4
88,"0",3,1,28,1,1,0,0,3,7
89,"1",1,2,23,6,1,2,3,4,1
90,"0",3,1,24,1,1,0,0,3,7
91,"0",3,1,29,1,1,0,0,3,7
92,"0",3,1,20,1,1,0,0,3,7
93,"0",1,1,46,2,1,0,1,3,5
94,"0",3,1,26,4,1,2,1,3,2
95,"0",3,1,59,1,1,0,0,3,7
96,"0",3,1,28,1,1,0,0,3,7
97,"0",1,1,71,1,2,0,0,3,7
98,"1",1,1,23,2,2,1,0,3,2
99,"1",2,2,34,2,1,1,0,2,1
100,"0",2,1,34,2,1,0,1,3,5
101,"0",3,2,28,1,1,0,0,4,7
102,"0",3,1,28,1,1,0,0,3,7
103,"0",1,1,21,2,1,1,0,3,2
104,"0",3,1,33,1,1,0,0,3,7
105,"0",3,1,37,3,1,0,2,3,5
106,"0",3,1,28,1,1,0,0,3,7
107,"1",3,2,21,1,1,0,0,4,7
108,"1",3,1,28,1,1,0,0,3,7
109,"0",3,1,38,1,1,0,0,3,7
110,"1",3,2,28,2,3,0,1,4,6
111,"0",1,1,47,1,1,0,0,3,7
112,"0",3,2,14.5,2,2,0,1,4,6
113,"0",3,1,22,1,1,0,0,3,7
114,"0",3,2,20,2,1,0,1,4,6
115,"0",3,2,17,1,2,0,0,4,7
116,"0",3,1,21,1,1,0,0,3,7
117,"0",3,1,70.5,1,3,0,0,3,7
118,"0",2,1,29,2,1,0,1,3,5
119,"0",1,1,24,2,2,1,0,3,2
120,"0",3,2,2,7,1,2,4,4,3
121,"0",2,1,21,3,1,0,2,3,5
122,"0",3,1,28,1,1,0,0,3,7
123,"0",2,1,32.5,2,2,0,1,3,5
124,"1",2,2,32.5,1,1,0,0,4,7
125,"0",1,1,54,2,1,1,0,3,2
126,"1",3,1,12,2,2,0,1,1,5
127,"0",3,1,28,1,3,0,0,3,7
128,"1",3,1,24,1,1,0,0,3,7
129,"1",3,2,28,3,2,1,1,4,1
130,"0",3,1,45,1,1,0,0,3,7
131,"0",3,1,33,1,2,0,0,3,7
132,"0",3,1,20,1,1,0,0,3,7
133,"0",3,2,47,2,1,0,1,2,6
134,"1",2,2,29,2,1,0,1,2,6
135,"0",2,1,25,1,1,0,0,3,7
136,"0",2,1,23,1,2,0,0,3,7
137,"1",1,2,19,3,1,2,0,4,3
138,"0",1,1,37,2,1,0,1,3,5
139,"0",3,1,16,1,1,0,0,3,7
140,"0",1,1,24,1,2,0,0,3,7
141,"0",3,2,28,3,2,2,0,2,1
142,"1",3,2,22,1,1,0,0,4,7
143,"1",3,2,24,2,1,0,1,2,6
144,"0",3,1,19,1,3,0,0,3,7
145,"0",2,1,18,1,1,0,0,3,7
146,"0",2,1,19,3,1,1,1,3,4
147,"1",3,1,27,1,1,0,0,3,7
148,"0",3,2,9,5,1,2,2,4,3
149,"0",2,1,36.5,3,1,2,0,3,2
150,"0",2,1,42,1,1,0,0,7,7
151,"0",2,1,51,1,1,0,0,7,7
152,"1",1,2,22,2,1,0,1,2,6
153,"0",3,1,55.5,1,1,0,0,3,7
154,"0",3,1,40.5,3,1,2,0,3,2
155,"0",3,1,28,1,1,0,0,3,7
